[1442082600] LOG ROTATION: DAILY
[1442082600] LOG VERSION: 2.0
[1442082600] CURRENT HOST STATE: ad.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.91 ms
[1442082600] CURRENT HOST STATE: application.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.14 ms
[1442082600] CURRENT HOST STATE: artifactory.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.53 ms
[1442082600] CURRENT HOST STATE: cisco;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.92 ms
[1442082600] CURRENT HOST STATE: confluence.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[1442082600] CURRENT HOST STATE: git.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[1442082600] CURRENT HOST STATE: jenkins.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.47 ms
[1442082600] CURRENT HOST STATE: jira.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[1442082600] CURRENT HOST STATE: localhost;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.05 ms
[1442082600] CURRENT HOST STATE: mail.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[1442097550] wproc: Core Worker 2943: job 8704 (pid=9263) timed out. Killing it
[1442097550] wproc: CHECK job 8704 from worker Core Worker 2943 timed out after 60.01s
[1442097550] wproc:   host=cisco; service=Uptime;
[1442097550] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442097550] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.008s!
[1442097550] wproc: Core Worker 2943: job 8704 (pid=9263): Dormant child reaped
[1442097876] SERVICE NOTIFICATION: nagiosadmin;ad.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442097916] SERVICE NOTIFICATION: nagiosadmin;application.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442097933] SERVICE NOTIFICATION: nagiosadmin;ad.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442097935] SERVICE NOTIFICATION: nagiosadmin;application.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442097954] SERVICE NOTIFICATION: nagiosadmin;application.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442097956] SERVICE NOTIFICATION: nagiosadmin;artifactory.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442097974] SERVICE NOTIFICATION: nagiosadmin;application.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442097995] SERVICE NOTIFICATION: nagiosadmin;artifactory.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098010] SERVICE NOTIFICATION: nagiosadmin;ad.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098014] SERVICE NOTIFICATION: nagiosadmin;artifactory.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098022] wproc: Core Worker 2941: job 8795 (pid=10010) timed out. Killing it
[1442098022] wproc: CHECK job 8795 from worker Core Worker 2941 timed out after 60.01s
[1442098022] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442098022] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442098022] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.011s!
[1442098022] wproc: Core Worker 2941: job 8795 (pid=10010): Dormant child reaped
[1442098072] SERVICE NOTIFICATION: nagiosadmin;cisco;Port 1 Link Status;UNKNOWN;notify-service-by-email;External command error: MIB search path: $HOME/.snmp/mibs:/usr/share/snmp/mibs:/usr/share/snmp/mibs/iana:/usr/share/snmp/mibs/ietf:/usr/share/mibs/site:/usr/share/snmp/mibs:/usr/share/mibs/iana:/usr/share/mibs/ietf:/usr/share/mibs/netsnmp
[1442098074] SERVICE NOTIFICATION: nagiosadmin;confluence.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098092] SERVICE NOTIFICATION: nagiosadmin;confluence.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098095] SERVICE NOTIFICATION: nagiosadmin;git.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098114] SERVICE NOTIFICATION: nagiosadmin;git.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098122] wproc: Core Worker 2942: job 8818 (pid=10186) timed out. Killing it
[1442098122] wproc: CHECK job 8818 from worker Core Worker 2942 timed out after 60.01s
[1442098122] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442098122] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442098122] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.011s!
[1442098122] wproc: Core Worker 2942: job 8818 (pid=10186): Dormant child reaped
[1442098133] SERVICE NOTIFICATION: nagiosadmin;git.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098135] SERVICE NOTIFICATION: nagiosadmin;jenkins.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098150] wproc: Core Worker 2944: job 8826 (pid=10245) timed out. Killing it
[1442098150] wproc: CHECK job 8826 from worker Core Worker 2944 timed out after 60.01s
[1442098150] wproc:   host=cisco; service=Uptime;
[1442098150] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442098150] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.012s!
[1442098150] wproc: Core Worker 2944: job 8826 (pid=10245): Dormant child reaped
[1442098152] SERVICE NOTIFICATION: nagiosadmin;git.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098154] SERVICE NOTIFICATION: nagiosadmin;jenkins.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098175] SERVICE NOTIFICATION: nagiosadmin;jira.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098193] SERVICE NOTIFICATION: nagiosadmin;jenkins.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098195] SERVICE NOTIFICATION: nagiosadmin;jira.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098213] SERVICE NOTIFICATION: nagiosadmin;jira.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098215] SERVICE NOTIFICATION: nagiosadmin;localhost;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098232] SERVICE NOTIFICATION: nagiosadmin;jira.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098235] SERVICE NOTIFICATION: nagiosadmin;localhost;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098254] SERVICE NOTIFICATION: nagiosadmin;localhost;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098273] SERVICE NOTIFICATION: nagiosadmin;localhost;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098314] SERVICE NOTIFICATION: nagiosadmin;mail.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098352] SERVICE NOTIFICATION: nagiosadmin;mail.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098371] SERVICE NOTIFICATION: nagiosadmin;mail.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098574] SERVICE NOTIFICATION: nagiosadmin;artifactory.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098622] wproc: Core Worker 2942: job 8920 (pid=11041) timed out. Killing it
[1442098622] wproc: CHECK job 8920 from worker Core Worker 2942 timed out after 60.01s
[1442098622] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442098622] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442098622] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.009s!
[1442098622] wproc: Core Worker 2942: job 8920 (pid=11041): Dormant child reaped
[1442098653] SERVICE NOTIFICATION: nagiosadmin;confluence.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098711] SERVICE NOTIFICATION: nagiosadmin;confluence.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442098722] wproc: Core Worker 2943: job 8943 (pid=11208) timed out. Killing it
[1442098722] wproc: CHECK job 8943 from worker Core Worker 2943 timed out after 60.01s
[1442098722] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442098722] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442098722] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.011s!
[1442098722] wproc: Core Worker 2943: job 8943 (pid=11208): Dormant child reaped
[1442098750] wproc: Core Worker 2944: job 8950 (pid=11257) timed out. Killing it
[1442098750] wproc: CHECK job 8950 from worker Core Worker 2944 timed out after 60.01s
[1442098750] wproc:   host=cisco; service=Uptime;
[1442098750] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442098750] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.012s!
[1442098750] SERVICE NOTIFICATION: nagiosadmin;cisco;Uptime;CRITICAL;notify-service-by-email;(Service check timed out after 60.01 seconds)
[1442098750] wproc: Core Worker 2944: job 8950 (pid=11257): Dormant child reaped
[1442098932] SERVICE NOTIFICATION: nagiosadmin;mail.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442099189] SERVICE NOTIFICATION: nagiosadmin;ad.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442099222] wproc: Core Worker 2942: job 9040 (pid=11979) timed out. Killing it
[1442099222] wproc: CHECK job 9040 from worker Core Worker 2942 timed out after 60.01s
[1442099222] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442099222] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442099222] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.012s!
[1442099222] wproc: Core Worker 2942: job 9040 (pid=11979): Dormant child reaped
[1442099322] wproc: Core Worker 2944: job 9063 (pid=12140) timed out. Killing it
[1442099322] wproc: CHECK job 9063 from worker Core Worker 2944 timed out after 60.01s
[1442099322] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442099322] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442099322] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.012s!
[1442099322] wproc: Core Worker 2944: job 9063 (pid=12140): Dormant child reaped
[1442099350] wproc: Core Worker 2942: job 9069 (pid=12189) timed out. Killing it
[1442099350] wproc: CHECK job 9069 from worker Core Worker 2942 timed out after 60.01s
[1442099350] wproc:   host=cisco; service=Uptime;
[1442099350] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442099350] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.012s!
[1442099350] wproc: Core Worker 2942: job 9069 (pid=12189): Dormant child reaped
[1442099372] SERVICE NOTIFICATION: nagiosadmin;jenkins.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442099822] wproc: Core Worker 2944: job 9160 (pid=12912) timed out. Killing it
[1442099822] wproc: CHECK job 9160 from worker Core Worker 2944 timed out after 60.01s
[1442099822] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442099822] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442099822] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.008s!
[1442099822] wproc: Core Worker 2944: job 9160 (pid=12912): Dormant child reaped
[1442099922] wproc: Core Worker 2944: job 9182 (pid=13064) timed out. Killing it
[1442099922] wproc: CHECK job 9182 from worker Core Worker 2944 timed out after 60.01s
[1442099922] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442099922] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442099922] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.011s!
[1442099922] wproc: Core Worker 2944: job 9182 (pid=13064): Dormant child reaped
[1442099950] wproc: Core Worker 2942: job 9188 (pid=13113) timed out. Killing it
[1442099950] wproc: CHECK job 9188 from worker Core Worker 2942 timed out after 60.01s
[1442099950] wproc:   host=cisco; service=Uptime;
[1442099950] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442099950] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.011s!
[1442099950] wproc: Core Worker 2942: job 9188 (pid=13113): Dormant child reaped
[1442100422] wproc: Core Worker 2942: job 9278 (pid=13816) timed out. Killing it
[1442100422] wproc: CHECK job 9278 from worker Core Worker 2942 timed out after 60.01s
[1442100422] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442100422] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442100422] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.008s!
[1442100422] wproc: Core Worker 2942: job 9278 (pid=13816): Dormant child reaped
[1442100522] wproc: Core Worker 2942: job 9300 (pid=13968) timed out. Killing it
[1442100522] wproc: CHECK job 9300 from worker Core Worker 2942 timed out after 60.01s
[1442100522] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442100522] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442100522] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.012s!
[1442100522] wproc: Core Worker 2942: job 9300 (pid=13968): Dormant child reaped
[1442100550] wproc: Core Worker 2941: job 9307 (pid=14017) timed out. Killing it
[1442100550] wproc: CHECK job 9307 from worker Core Worker 2941 timed out after 60.01s
[1442100550] wproc:   host=cisco; service=Uptime;
[1442100550] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442100550] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.012s!
[1442100550] wproc: Core Worker 2941: job 9307 (pid=14017): Dormant child reaped
[1442100916] Auto-save of retention data completed successfully.
[1442101022] wproc: Core Worker 2943: job 9397 (pid=14713) timed out. Killing it
[1442101022] wproc: CHECK job 9397 from worker Core Worker 2943 timed out after 60.01s
[1442101022] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442101022] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442101022] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.010s!
[1442101022] wproc: Core Worker 2943: job 9397 (pid=14713): Dormant child reaped
[1442101122] wproc: Core Worker 2941: job 9419 (pid=14870) timed out. Killing it
[1442101122] wproc: CHECK job 9419 from worker Core Worker 2941 timed out after 60.01s
[1442101122] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442101122] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442101122] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.012s!
[1442101122] wproc: Core Worker 2941: job 9419 (pid=14870): Dormant child reaped
[1442101150] wproc: Core Worker 2943: job 9426 (pid=14919) timed out. Killing it
[1442101150] wproc: CHECK job 9426 from worker Core Worker 2943 timed out after 60.01s
[1442101150] wproc:   host=cisco; service=Uptime;
[1442101150] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442101150] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.012s!
[1442101150] wproc: Core Worker 2943: job 9426 (pid=14919): Dormant child reaped
[1442101476] SERVICE NOTIFICATION: nagiosadmin;ad.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101516] SERVICE NOTIFICATION: nagiosadmin;application.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101533] SERVICE NOTIFICATION: nagiosadmin;ad.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101554] SERVICE NOTIFICATION: nagiosadmin;application.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101556] SERVICE NOTIFICATION: nagiosadmin;artifactory.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101595] SERVICE NOTIFICATION: nagiosadmin;artifactory.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101610] SERVICE NOTIFICATION: nagiosadmin;ad.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101614] SERVICE NOTIFICATION: nagiosadmin;artifactory.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101622] wproc: Core Worker 2943: job 9517 (pid=15657) timed out. Killing it
[1442101622] wproc: CHECK job 9517 from worker Core Worker 2943 timed out after 60.01s
[1442101622] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442101622] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442101622] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.009s!
[1442101622] wproc: Core Worker 2943: job 9517 (pid=15657): Dormant child reaped
[1442101672] SERVICE NOTIFICATION: nagiosadmin;cisco;Port 1 Link Status;UNKNOWN;notify-service-by-email;External command error: MIB search path: $HOME/.snmp/mibs:/usr/share/snmp/mibs:/usr/share/snmp/mibs/iana:/usr/share/snmp/mibs/ietf:/usr/share/mibs/site:/usr/share/snmp/mibs:/usr/share/mibs/iana:/usr/share/mibs/ietf:/usr/share/mibs/netsnmp
[1442101674] SERVICE NOTIFICATION: nagiosadmin;confluence.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101692] SERVICE NOTIFICATION: nagiosadmin;confluence.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101695] SERVICE NOTIFICATION: nagiosadmin;git.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101714] SERVICE NOTIFICATION: nagiosadmin;git.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101722] wproc: Core Worker 2943: job 9540 (pid=15832) timed out. Killing it
[1442101722] wproc: CHECK job 9540 from worker Core Worker 2943 timed out after 60.01s
[1442101722] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442101722] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442101722] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.012s!
[1442101722] wproc: Core Worker 2943: job 9540 (pid=15832): Dormant child reaped
[1442101733] SERVICE NOTIFICATION: nagiosadmin;git.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101735] SERVICE NOTIFICATION: nagiosadmin;jenkins.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101750] wproc: Core Worker 2941: job 9547 (pid=15891) timed out. Killing it
[1442101750] wproc: CHECK job 9547 from worker Core Worker 2941 timed out after 60.01s
[1442101750] wproc:   host=cisco; service=Uptime;
[1442101750] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442101750] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.012s!
[1442101750] wproc: Core Worker 2941: job 9547 (pid=15891): Dormant child reaped
[1442101775] SERVICE NOTIFICATION: nagiosadmin;jira.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101793] SERVICE NOTIFICATION: nagiosadmin;jenkins.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101795] SERVICE NOTIFICATION: nagiosadmin;jira.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101815] SERVICE NOTIFICATION: nagiosadmin;localhost;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101835] SERVICE NOTIFICATION: nagiosadmin;localhost;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101854] SERVICE NOTIFICATION: nagiosadmin;localhost;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101952] SERVICE NOTIFICATION: nagiosadmin;mail.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442101971] SERVICE NOTIFICATION: nagiosadmin;mail.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102134] SERVICE NOTIFICATION: nagiosadmin;application.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102173] SERVICE NOTIFICATION: nagiosadmin;application.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102174] SERVICE NOTIFICATION: nagiosadmin;artifactory.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102222] wproc: Core Worker 2942: job 9640 (pid=16662) timed out. Killing it
[1442102222] wproc: CHECK job 9640 from worker Core Worker 2942 timed out after 60.01s
[1442102222] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442102222] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442102222] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.012s!
[1442102222] wproc: Core Worker 2942: job 9640 (pid=16662): Dormant child reaped
[1442102253] SERVICE NOTIFICATION: nagiosadmin;confluence.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102311] SERVICE NOTIFICATION: nagiosadmin;confluence.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102322] wproc: Core Worker 2942: job 9663 (pid=16835) timed out. Killing it
[1442102322] wproc: CHECK job 9663 from worker Core Worker 2942 timed out after 60.01s
[1442102322] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442102322] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442102322] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.012s!
[1442102322] wproc: Core Worker 2942: job 9663 (pid=16835): Dormant child reaped
[1442102350] wproc: Core Worker 2941: job 9670 (pid=16884) timed out. Killing it
[1442102350] wproc: CHECK job 9670 from worker Core Worker 2941 timed out after 60.01s
[1442102350] wproc:   host=cisco; service=Uptime;
[1442102350] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442102350] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.011s!
[1442102350] SERVICE NOTIFICATION: nagiosadmin;cisco;Uptime;CRITICAL;notify-service-by-email;(Service check timed out after 60.01 seconds)
[1442102350] wproc: Core Worker 2941: job 9670 (pid=16884): Dormant child reaped
[1442102350] SERVICE NOTIFICATION: nagiosadmin;git.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102353] SERVICE NOTIFICATION: nagiosadmin;jenkins.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102412] SERVICE NOTIFICATION: nagiosadmin;jira.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102431] SERVICE NOTIFICATION: nagiosadmin;jira.plank.life;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102472] SERVICE NOTIFICATION: nagiosadmin;localhost;Tomcat total active sessions;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102513] SERVICE NOTIFICATION: nagiosadmin;mail.plank.life;Tomcat heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102532] SERVICE NOTIFICATION: nagiosadmin;mail.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102789] SERVICE NOTIFICATION: nagiosadmin;ad.plank.life;Tomcat loaded classes count;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442102822] wproc: Core Worker 2941: job 9762 (pid=17625) timed out. Killing it
[1442102822] wproc: CHECK job 9762 from worker Core Worker 2941 timed out after 60.01s
[1442102822] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442102822] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442102822] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.013s!
[1442102822] wproc: Core Worker 2941: job 9762 (pid=17625): Dormant child reaped
[1442102922] wproc: Core Worker 2944: job 9785 (pid=17791) timed out. Killing it
[1442102922] wproc: CHECK job 9785 from worker Core Worker 2944 timed out after 60.01s
[1442102922] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442102922] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442102922] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.013s!
[1442102922] wproc: Core Worker 2944: job 9785 (pid=17791): Dormant child reaped
[1442102950] wproc: Core Worker 2942: job 9791 (pid=17841) timed out. Killing it
[1442102950] wproc: CHECK job 9791 from worker Core Worker 2942 timed out after 60.01s
[1442102950] wproc:   host=cisco; service=Uptime;
[1442102950] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442102950] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.009s!
[1442102950] wproc: Core Worker 2942: job 9791 (pid=17841): Dormant child reaped
[1442102972] SERVICE NOTIFICATION: nagiosadmin;jenkins.plank.life;Tomcat non-heap memory used;UNKNOWN;notify-service-by-email;(No output returned from plugin)
[1442103422] wproc: Core Worker 2942: job 9881 (pid=18559) timed out. Killing it
[1442103422] wproc: CHECK job 9881 from worker Core Worker 2942 timed out after 60.01s
[1442103422] wproc:   host=jira.plank.life; service=MYSQL Database;
[1442103422] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442103422] Warning: Check of service 'MYSQL Database' on host 'jira.plank.life' timed out after 60.012s!
[1442103422] wproc: Core Worker 2942: job 9881 (pid=18559): Dormant child reaped
[1442103522] wproc: Core Worker 2944: job 9904 (pid=18716) timed out. Killing it
[1442103522] wproc: CHECK job 9904 from worker Core Worker 2944 timed out after 60.01s
[1442103522] wproc:   host=mail.plank.life; service=MYSQL Database;
[1442103522] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442103522] Warning: Check of service 'MYSQL Database' on host 'mail.plank.life' timed out after 60.012s!
[1442103522] wproc: Core Worker 2944: job 9904 (pid=18716): Dormant child reaped
[1442103550] wproc: Core Worker 2942: job 9910 (pid=18765) timed out. Killing it
[1442103550] wproc: CHECK job 9910 from worker Core Worker 2942 timed out after 60.01s
[1442103550] wproc:   host=cisco; service=Uptime;
[1442103550] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1442103550] Warning: Check of service 'Uptime' on host 'cisco' timed out after 60.007s!
[1442103550] wproc: Core Worker 2942: job 9910 (pid=18765): Dormant child reaped
