[1441823400] LOG ROTATION: DAILY
[1441823400] LOG VERSION: 2.0
[1441823400] CURRENT HOST STATE: ad.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.92 ms
[1441823400] CURRENT HOST STATE: application.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.90 ms
[1441823400] CURRENT HOST STATE: artifactory.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.64 ms
[1441823400] CURRENT HOST STATE: cisco;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.98 ms
[1441823400] CURRENT HOST STATE: confluence.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.54 ms
[1441823400] CURRENT HOST STATE: git.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.51 ms
[1441823400] CURRENT HOST STATE: jenkins.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.56 ms
[1441823400] CURRENT HOST STATE: jira.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.69 ms
[1441823400] CURRENT HOST STATE: localhost;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.05 ms
[1441823400] CURRENT HOST STATE: mail.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.30 ms
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK ALL DISKS;CRITICAL;HARD;3;DISK CRITICAL - free space: / 10367 MB (60% inode=88%): /sys/fs/cgroup 0 MB (100% inode=99%): /dev 1963 MB (99% inode=99%): /run 394 MB (99% inode=99%): /run/lock 5 MB (100% inode=99%): /run/shm 1976 MB (99% inode=99%): /run/user 100 MB (100% inode=99%): /home/plank-nagios 10367 MB (60% inode=88%):
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK BREEZE;UNKNOWN;HARD;3;Warning threshold not specified
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK DHCP INTERFACE;UNKNOWN;HARD;3;Warning: This plugin must be either run as root or setuid root.
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK DIG;OK;HARD;1;DNS OK - 0.016 seconds response time (:: ANSWER SECTION:)
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK DISK;CRITICAL;HARD;3;DISK CRITICAL -  is not accessible: No such file or directory
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK DNS;OK;HARD;1;DNS OK: 0.138 seconds response time. www.google.com returns 216.58.196.100
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK HOST ALIVE;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 1.11 ms
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK HTTP IPv4;OK;HARD;1;HTTP OK: HTTP/1.1 200 OK - 1665 bytes in 0.004 second response time
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK HTTP NAME IPv4;OK;HARD;1;HTTP OK: HTTP/1.1 200 OK - 1665 bytes in 0.003 second response time
[1441823400] CURRENT SERVICE STATE: ad.plank.life;CHECK HTTP2 IPv4;OK;HARD;1;HTTP OK: HTTP/1.1 200 OK - 1665 bytes in 0.003 second response time
