[1442255400] LOG ROTATION: DAILY
[1442255400] LOG VERSION: 2.0
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;MYSQL CONNECTION TIME;OK;HARD;1;Please select a mode
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;MYSQL Database;CRITICAL;HARD;3;Can't connect to MySQL server on '10.0.0.29' (111)
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;MYSQL SLAVE SQL RUNNING;OK;HARD;1;Please select a mode
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;MYSQL SLAVE-IO-RUNNING;OK;HARD;1;Please select a mode
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;MYSQL threads-connected;OK;HARD;1;Please select a mode
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.48 ms
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;Root Partition;CRITICAL;HARD;4;(Return code of 255 is out of bounds)
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;SSH;UNKNOWN;HARD;4;Usage:
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;Swap Usage;OK;HARD;1;SWAP OK - 100% free (2007 MB out of 2007 MB)
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;TCP;OK;HARD;1;TCP OK - 0.001 second response time on port 5543
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;TIME;UNKNOWN;HARD;3;Connection refused
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;TOMCAT THREADS COUNT;UNKNOWN;HARD;3;(No output returned from plugin)
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;Tomcat heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;Tomcat loaded classes count;UNKNOWN;HARD;3;(No output returned from plugin)
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;Tomcat non-heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442255400] CURRENT SERVICE STATE: confluence.plank.life;Tomcat total active sessions;UNKNOWN;HARD;3;(No output returned from plugin)
